number,value,datetime_start,datetime_complete,duration,params_lambda,params_window_size,state
38,0.2625986646042038,2026-03-31 16:51:08.252960,2026-03-31 16:51:09.568033,0 days 00:00:01.315073,0.002391322742040619,104,COMPLETE
39,0.1830846399951931,2026-03-31 16:51:09.568452,2026-03-31 16:51:10.770363,0 days 00:00:01.201911,0.00573734861763163,98,COMPLETE
40,0.2003509517835582,2026-03-31 16:51:10.770769,2026-03-31 16:51:12.109457,0 days 00:00:01.338688,0.0024331767227797024,103,COMPLETE
41,0.0,2026-03-31 16:51:12.109871,2026-03-31 16:51:13.640292,0 days 00:00:01.530421,0.0020093474646356653,132,COMPLETE
42,0.11159577993867376,2026-03-31 16:51:13.640716,2026-03-31 16:51:15.180791,0 days 00:00:01.540075,0.001025064343447058,380,COMPLETE
43,0.0,2026-03-31 16:51:15.181229,2026-03-31 16:51:16.540700,0 days 00:00:01.359471,0.004153345594336622,303,COMPLETE
44,0.0,2026-03-31 16:51:16.541099,2026-03-31 16:51:17.791152,0 days 00:00:01.250053,0.0027502552659158315,162,COMPLETE
45,0.0,2026-03-31 16:51:17.791556,2026-03-31 16:51:19.166550,0 days 00:00:01.374994,0.013150303269800176,400,COMPLETE
46,0.20736594336787337,2026-03-31 16:51:19.166995,2026-03-31 16:51:20.388424,0 days 00:00:01.221429,0.003819695967168968,82,COMPLETE
47,0.0,2026-03-31 16:51:20.388858,2026-03-31 16:51:21.700228,0 days 00:00:01.311370,0.008064423425680851,227,COMPLETE
48,0.0,2026-03-31 16:51:21.700630,2026-03-31 16:51:22.914316,0 days 00:00:01.213686,0.04346450644988556,118,COMPLETE
49,0.38568816984546284,2026-03-31 16:51:22.914702,2026-03-31 16:51:24.245169,0 days 00:00:01.330467,0.005351278746952587,194,COMPLETE
50,0.0,2026-03-31 16:51:24.245602,2026-03-31 16:51:25.586300,0 days 00:00:01.340698,0.005361999999065321,199,COMPLETE
51,0.1371265373306606,2026-03-31 16:51:25.586740,2026-03-31 16:51:26.905834,0 days 00:00:01.319094,0.002661658129087621,172,COMPLETE
52,0.0,2026-03-31 16:51:26.906236,2026-03-31 16:51:28.199797,0 days 00:00:01.293561,0.003254495093170277,254,COMPLETE
53,0.0,2026-03-31 16:51:28.200195,2026-03-31 16:51:29.465031,0 days 00:00:01.264836,0.006351625494415671,146,COMPLETE
54,0.24713818950085822,2026-03-31 16:51:29.465462,2026-03-31 16:51:30.844320,0 days 00:00:01.378858,0.0022336167034303885,218,COMPLETE
55,0.2676502554645249,2026-03-31 16:51:30.844763,2026-03-31 16:51:32.137161,0 days 00:00:01.292398,0.004753758769628638,220,COMPLETE
