number,value,datetime_start,datetime_complete,duration,params_lambda,params_window_size,state
190,0.10468309663463461,2026-03-31 16:54:41.926655,2026-03-31 16:54:43.353278,0 days 00:00:01.426623,0.0011195466693213888,340,COMPLETE
191,0.1459467544098229,2026-03-31 16:54:43.353718,2026-03-31 16:54:44.842020,0 days 00:00:01.488302,0.00180450061987155,324,COMPLETE
192,0.22766004939884743,2026-03-31 16:54:44.842422,2026-03-31 16:54:46.238781,0 days 00:00:01.396359,0.0016417672916439123,315,COMPLETE
193,0.10476571407799254,2026-03-31 16:54:46.239172,2026-03-31 16:54:47.679335,0 days 00:00:01.440163,0.0012897008195062688,327,COMPLETE
194,0.0,2026-03-31 16:54:47.679774,2026-03-31 16:54:49.193879,0 days 00:00:01.514105,0.0014349486465177505,183,COMPLETE
195,0.0,2026-03-31 16:54:49.194314,2026-03-31 16:54:50.501632,0 days 00:00:01.307318,0.0030895936581311454,333,COMPLETE
196,0.3547947970655998,2026-03-31 16:54:50.502022,2026-03-31 16:54:51.911843,0 days 00:00:01.409821,0.0019272179376702311,317,COMPLETE
197,0.0,2026-03-31 16:54:51.912243,2026-03-31 16:54:53.266362,0 days 00:00:01.354119,0.0019535441684120857,348,COMPLETE
198,0.30152162754540973,2026-03-31 16:54:53.266786,2026-03-31 16:54:54.609389,0 days 00:00:01.342603,0.0015774464980328339,319,COMPLETE
199,0.21804833375354246,2026-03-31 16:54:54.609821,2026-03-31 16:54:55.876432,0 days 00:00:01.266611,0.0017109107879752232,221,COMPLETE
