stock,window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2,avg_selection_rate
90444,231,1,0.003505898780188227,0.010166354003280363,-0.002502128602297704,-1.3655743202889425e-11,-0.004767567876803991,7.573201240156948e-09,2.4647739048988994e-08,0.0006274759293115294,1.3448343954437416,1642,1645,,0.00963847726111395
81540,231,1,0.003505898780188227,-0.006191620766052839,-0.003725447794115766,-8.091682879296513e-11,-0.0004523563090583771,7.19027721961165e-07,1.794079653636194e-07,0.0007668872638638179,2.3720107225045077,1642,1645,,0.00012135922330097087
70519,231,1,0.003505898780188227,0.024766996762906276,-0.013042725920660692,-1.663219428849061e-08,-0.008218698506174071,7.308176028557756e-06,5.541603078696954e-05,0.00044085558078055606,0.8746268308265769,1642,1645,,0.01888732754215636
90825,231,1,0.003505898780188227,0.06482555385003191,-0.021997257430280248,1.7453695510760703e-05,-0.002500071171677165,0.01870693027116691,0.17249224679009498,0.000534092200828447,0.7920030296904587,1642,1645,,0.04834248850281042
83976,231,1,0.003505898780188227,0.08394148994986858,-0.029143160414695446,-1.3451462166358397e-12,-0.005759578564259682,9.85300489726612e-11,7.734469042564547e-10,-0.00037302559415022915,-0.5058740815395029,1642,1645,,0.05891032192130813
77857,231,1,0.003505898780188227,0.009493529408658417,-0.010599557032094253,-4.29284829905896e-09,-0.0007419583529406637,5.599646511328642e-07,1.912310623835565e-06,0.0006351023766001162,1.6340897644378776,1642,1645,,0.004445579969340828
12490,231,1,0.003505898780188227,-0.0030069999776266058,-0.00032735183549337243,0.0020345412609279467,-0.0014372443516885713,0.9750140573302569,73.64519084193887,0.00020477635588056085,0.6962730463036807,1642,1645,,5.109862033725089e-05
23085,231,1,0.003505898780188227,-0.001695348582419038,-0.0025717244758585167,0.0003785246114269558,-0.001204449317360412,0.982401745640946,45.99759718516542,0.0005234613040828762,2.0030358565033253,1642,1645,,6.387327542156361e-06
53225,231,1,0.003505898780188227,-0.0029264876662721314,-0.0016062866746486826,8.864503519001588e-07,-2.4230941930936112e-05,0.0365396588066943,0.039887218306456876,0.0006518682801227047,1.7542991482649521,1642,1645,,0.0017980327031170158
89882,231,1,0.003505898780188227,-0.0053915957390549794,-0.0012182953883133063,-1.511430980372097e-10,-0.006971719065589799,0.5,,0.0003008170846660148,1.5665680103411566,1642,1645,,0.0
92655,231,1,0.003505898780188227,-0.0007785092027569592,-0.005157371790744936,-7.5702932811339e-10,-0.00034750085312840184,5.700435578967402e-07,4.812388005959115e-07,0.0011637684338826721,3.3372542724414007,1642,1645,,0.000530148185998978
10952,231,1,0.003505898780188227,0.025996821406105784,-0.024087893286578232,-4.257798558171544e-10,-0.005748873272300337,2.4816669591393712e-08,1.7287498107441272e-07,0.00019829250462119092,0.4093047941479321,1642,1645,,0.016667731221257025
83856,231,1,0.003505898780188227,0.008131018305625333,-0.0064972154332569865,-4.864031399876012e-10,-0.0011289884455507604,9.77519901769518e-08,2.479180130584503e-07,0.0012366940889712514,2.720747489882523,1642,1645,,0.00854943791517629
