stock
90219
48725
77693
89984
85424
83661
93035
78405
89856
78015
77366
77606
77466
59045
89534
90550
90392
92679
91571
89547
91413
92191
79198
78107
86143
93153
77643
89811
85772
83186
93122
90495
90272
90071
89409
22825
75316
89221
12781
90886
86868
76273
21573
42059
49429
85337
91452
56573
90651
89546
90384
90389
93014
87285
92967
18163
83989
87034
54704
77057
77609
77806
22517
24441
75840
91112
79637
59176
57665
87662
11378
89191
26614
77152
24010
45225
82777
80102
91983
89003
76135
92171
75241
77591
90524
92272
89777
27043
78057
24432
89134
79052
90776
60097
91849
89970
31974
92172
88309
75182
85593
92400
92108
77573
11707
47896
89773
13303
83143
77460
55511
78137
11644
23297
92245
76961
89246
82303
75032
89298
80080
90440
20482
12570
24205
35107
90657
36397
79036
89403
92173
80412
80128
81675
89977
27618
30681
77300
85908
79464
75455
48347
89154
11674
83601
18542
81677
93095
76708
90306
89803
23819
89509
89990
89009
44951
80415
84007
82307
18075
82637
12060
85059
91531
82654
10145
91109
82651
75260
13856
16600
71475
90505
68866
54228
89050
90775
52038
75039
91215
26825
79782
77818
75070
89726
90794
92614
89508
90510
92976
84041
79133
80691
90563
75591
75811
89052
18403
90215
90496
15069
80210
92239
81049
93101
69649
66093
70826
77071
35554
89289
84734
24985
91389
72231
91926
52090
91757
75175
81040
79785
88988
11208
66157
89548
90266
90516
27959
90518
85168
27888
86023
55976
91204
47466
77808
75233
86106
60986
13688
93178
57808
52425
23536
89330
57817
85234
53110
23712
33209
81038
91856
84373
55212
24053
27887
90248
11762
86870
81665
12036
28564
91915
89841
84651
89949
92020
93098
88957
85082
91152
62156
80070
26649
52329
59089
76837
22752
28222
76081
75405
11404
61399
63773
90432
21178
89372
77316
10932
78223
23026
64629
93067
90790
87432
88960
85058
90843
75460
80206
75461
36898
57568
92402
90537
11581
17005
66181
92326
67838
92293
44134
39490
79545
91750
77462
19721
77637
77910
88307
89182
66683
77776
89317
