window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2
60,8,0.007088116333636816,-0.0027745630917179465,-0.004073734997181777,1.5434496680732934e-08,0.0036396864806209628,1.4438325558334712e-06,5.8037669507546945e-06,0.00038814394229054873,1.7292148235686213,1820,1821,1719
60,8,0.006386137029891565,0.003364927001315091,-0.006818060758864819,7.264747026169971e-09,0.003118525603018174,4.374242899237205e-07,2.3415234417600145e-06,0.00038814394229132675,1.729214831690367,1820,1821,1719
60,6,0.006386137029891565,0.0024407014233563604,-0.0036894577620876223,4.6400555731018756e-08,0.0025434425404968763,4.133608281881376e-06,2.1866792322387103e-05,0.0003932256523743125,1.7535277554814017,1822,1823,1721
60,6,0.004882151906398154,0.02512802023112176,-0.012344675684331508,-1.0989765542035457e-08,0.00229838324067988,4.857891674317402e-09,4.394095957080242e-08,0.0003932256523746282,1.7535278039036621,1822,1823,1721
60,6,0.004666076055864927,0.03085079667802353,-0.014641212491450561,-1.003093674789568e-08,0.002136167648764342,3.8246284417856264e-08,3.7015203501188846e-07,0.0003932256523746266,1.753527803529455,1822,1823,1721
60,1,0.008777381800309384,-0.009355738756969456,-0.0018730218076299376,-0.0007135047760482571,0.0020839381409863966,0.9926030645285083,416.7809489629774,0.00039641685709176846,1.77580119296679,1827,1828,1726
60,8,0.004882151906398154,0.029553602028079298,-0.018863689841638553,0.0013588296788528131,0.000683834848864362,0.04822545023720243,0.4628991776213017,0.000388143942291326,1.7293068175763973,1820,1821,1719
60,8,0.004666076055864927,0.035975003327989634,-0.021556308146324143,0.0019396559519506695,0.0006565650106643561,0.06738479641984164,0.7114197286883496,0.0003881439422913444,1.7294234135753466,1820,1821,1719
200,8,0.0033421137562620455,0.0001683931302149111,-0.002690963018402881,5.205431208299416e-08,0.0002178092156216449,5.08528424255153e-05,5.139090115328524e-05,0.00042647988012507775,1.9008739087617155,1680,1681,1579
60,8,0.002495243000965273,0.2669065905728098,-0.08729583309990274,0.0027581358241964837,-0.0004878219951935936,0.08326667445924281,1.6945421930110642,0.000388412189588537,1.7315555541167833,1820,1821,1719
60,8,0.002599375081485179,0.24164422372726116,-0.08117554686434425,0.0026939904184767327,-0.0006239193068506843,0.08201588054226949,1.6064866901886503,0.0003883850577080478,1.7313213689524996,1820,1821,1719
60,8,0.0029128476281112545,0.17735107011096746,-0.06438283096787578,0.0027119002786274438,-0.0006352870861066062,0.08281818157004461,1.4620702068380738,0.00038828174561641917,1.7306821046205454,1820,1821,1719
60,8,0.0033421137562620455,0.11460905078777192,-0.04684842873151274,0.002783654804138558,-0.000885880257122329,0.08316630142683794,1.2856288458887941,0.0003882024933276822,1.7301347006568333,1820,1821,1719
60,5,0.006386137029891565,0.0002709315873837933,-0.007841879129118379,0.0003241458322361668,-0.0011998481142396766,0.3017879291772725,2.3957327882815274,0.000389774739543297,1.7402211631278734,1823,1824,1722
100,2,0.009416506865542334,-0.004398899248494449,-0.0019262955083656497,-7.845260825423139e-07,-0.001772024726731436,0.5,,0.0004396258726124615,1.9800479422090462,1786,1787,1685
100,2,0.008777381800309384,-0.004398899248494449,-0.0019262955083656497,-7.845260825423139e-07,-0.001772024726731436,0.5,,0.0004396258726124615,1.9800479422090462,1786,1787,1685
100,6,0.008777381800309384,-0.004397489509551191,-0.0019358391386850027,-4.696385466962383e-06,-0.0018557820347111509,0.5,,0.0004415332211989944,1.991320035594129,1782,1783,1681
100,6,0.009416506865542334,-0.004397489509551191,-0.0019358391386850027,-4.696385466962383e-06,-0.0018557820347111509,0.5,,0.0004415332211989944,1.991320035594129,1782,1783,1681
100,5,0.008777381800309384,-0.004397481552477088,-0.0019367643318446426,-1.5070835912567304e-08,-0.0018576294383041425,0.5,,0.00044295670349713874,1.9987791091531977,1783,1784,1682
100,5,0.009416506865542334,-0.004397481552477088,-0.0019367643318446426,-1.5070835912567304e-08,-0.0018576294383041425,0.5,,0.00044295670349713874,1.9987791091531977,1783,1784,1682
100,3,0.008777381800309384,-0.004399421543040165,-0.0019272599986184247,-1.0693403749151287e-06,-0.0018674451534910208,0.5,,0.0004481990455500796,2.0185995693270984,1785,1786,1684
100,3,0.009416506865542334,-0.004399421543040165,-0.0019272599986184247,-1.0693403749151287e-06,-0.0018674451534910208,0.5,,0.0004481990455500796,2.0185995693270984,1785,1786,1684
