stock,window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2,avg_selection_rate,eff_lambda,stock_vol
90444,231,1,0.0037716301938566597,0.005412168712139721,-0.0014382721385901576,-1.2011991401550404e-10,-0.004767567897195457,1.3957785435073414e-07,3.5031639229936687e-07,0.0006274759293111111,1.3448343954217095,1642,1645,,0.006138221768012264,0.0037716301938566597,0.018826421562846123
81540,231,1,0.002661012013819003,0.0001783646265370239,-0.003602477762915557,0.0012490176057083913,0.0022388761552648573,0.4442499319013196,2.5768640533806897,0.0007665505541022986,2.3724507172087246,1642,1645,,0.005684721512519163,0.002661012013819003,0.013282673905186847
70519,231,1,0.004191315747529806,0.013128832274681906,-0.008888309253425541,-1.7223245052377933e-10,-0.008218705711223961,3.241056979131555e-08,1.9322865412746594e-07,0.00044085557587173065,0.8746268420258562,1642,1645,,0.008983776188042922,0.004191315747529806,0.02092131866335105
90825,231,1,0.005802320703221133,0.006625027007596303,-0.001146797701363278,7.670979335716588e-05,-0.0024941619395921766,0.12213950615751572,0.40490450070581546,0.0005342057931849058,0.7921950322002059,1642,1645,,0.005834823709759837,0.005802320703221133,0.028962790620246676
83976,231,1,0.005957687487999242,0.004733213996537523,-0.003251399777983055,-4.103369199981444e-09,-0.005759763960038411,6.500448232913889e-07,1.208253686304933e-06,-0.0003730255941578735,-0.5058742247295509,1642,1645,,0.004733009708737864,0.005957687487999242,0.029738317497685775
77857,231,1,0.003223975495063721,0.012785727507931248,-0.012717740281754653,-2.4392877939760638e-08,-0.0007419570126907526,2.7840617920853704e-06,1.1050476318849659e-05,0.0006351023769507481,1.6340897302515194,1642,1645,,0.00633942258559019,0.003223975495063721,0.016092755296428164
12490,231,1,0.002373779091364853,0.00532601583921022,0.0005922406667108193,4.8641614509570275e-06,-0.0007285012398605684,0.036680265444104146,0.09341192910720444,0.0002047763558805604,0.6955660792254104,1642,1645,,0.004691492079713848,0.002373779091364853,0.011848925683089644
23085,231,1,0.002130170956596049,0.0026306198802216337,-0.0028128439462076216,-1.731192966758499e-11,-0.0012045159152562768,2.699697988715866e-08,3.652955987167755e-08,0.0005234613040643221,2.0026491456695075,1642,1645,,0.0039633367399080225,0.002130170956596049,0.010632934399329538
53225,231,1,0.003205522223772638,-0.0005161054834358103,-0.001973218017600642,6.22513345814868e-05,0.0002457353624094605,0.16637085012625175,0.38334137061822937,0.0006518414501237703,1.7542807251632322,1642,1645,,0.0035066428206438427,0.003205522223772638,0.01600064418089373
89882,231,1,0.0016151009817210525,0.005100068770201659,-0.004124291444046246,0.00017260227971915842,-0.007335439361820129,0.15326108028550198,0.6280663695364441,0.0003007131966441088,1.566162154034586,1642,1645,,0.004116632600919775,0.0016151009817210525,0.008061917628609047
92655,231,1,0.0028811736556569973,0.004797183104772278,-0.006290181881246193,-7.420067005270425e-09,-0.0003475106819750273,3.760945835573279e-06,7.204439423570902e-06,0.0011637684340873944,3.3372542270719197,1642,1645,,0.00444238630556975,0.0028811736556569973,0.014381629971442144
10952,231,1,0.004129271272180797,0.013073269335199578,-0.016526420288209387,-1.3285822220154841e-08,-0.005748873297661827,8.493077170110839e-07,4.230343200506853e-06,0.00019829250542791586,0.4093047892943736,1642,1645,,0.008616504854368932,0.004129271272180797,0.020611618245089294
83856,231,1,0.003695701695194591,0.00500798670815013,-0.006093588746951761,-2.777222896099829e-11,-0.0011289884457399424,6.725958241884456e-09,1.3930882894985216e-08,0.0012366940889703385,2.720747491699666,1642,1645,,0.006419264179867144,0.003695701695194591,0.018447417829454006
