permno,sector,own_rate,other_rate,diff
88595,Industrials,0.0045509706,0.0061108326,-0.0015598619
89443,Financials,0.008868559,0.0055640116,0.0033045476
70121,Financials,0.023151606,0.007792359,0.015359247
85796,Industrials,0.027204692,0.0059393467,0.021265347
89968,Financials,0.00760829,0.006808458,0.00079983193
60599,Utilities & Telecom,0.0,0.007797492,-0.007797492
89911,Energy & Mining,0.0017192556,0.006308701,-0.0045894454
39693,Industrials,0.00040453076,0.007700375,-0.007295844
89649,Financials,0.0108289765,0.004576683,0.0062522935
90987,Utilities & Telecom,0.0,0.012440943,-0.012440943
88282,Utilities & Telecom,0.0,0.0027906133,-0.0027906133
89817,Utilities & Telecom,0.00020226538,0.0049874093,-0.004785144
81043,Utilities & Telecom,0.006674757,0.0059868386,0.0006879186
79363,Healthcare,0.012894417,0.004413952,0.008480465
57074,Financials,0.010035474,0.009057375,0.0009780992
89692,Energy & Mining,0.006674757,0.005504037,0.0011707204
87426,Industrials,0.006573625,0.0060679615,0.00050566345
42796,Industrials,0.0017192556,0.004834582,-0.0031153266
86218,Utilities & Telecom,0.01881068,0.0030339807,0.0157767
85425,Utilities & Telecom,0.0,0.002995042,-0.002995042
79895,Financials,0.0021004481,0.0042270035,-0.0021265554
59010,Consumer,0.0004550971,0.005151099,-0.0046960018
89707,Financials,0.01507655,0.008903105,0.006173445
29946,Consumer,0.0010618932,0.004177558,-0.0031156647
70703,Financials,0.0108289765,0.011350858,-0.0005218815
86314,Financials,0.011435773,0.0077032256,0.0037325476
77467,Financials,0.0035941,0.006067961,-0.002473861
72776,Financials,0.002007095,0.004127585,-0.00212049
89257,Financials,0.0,0.006318222,-0.006318222
29890,Energy & Mining,0.0099110035,0.004851071,0.0050599324
51916,Financials,0.006067961,0.0052486146,0.0008193464
64936,Energy & Mining,0.007281553,0.0028624947,0.0044190586
89760,Energy & Mining,0.00020226538,0.0081224935,-0.007920228
17778,Financials,0.016570201,0.0060988152,0.010471386
55001,Industrials,0.00414644,0.005477654,-0.0013312139
90057,Financials,0.0068614637,0.006287368,0.00057409564
91519,Financials,0.020817773,0.008090616,0.012727157
85339,Financials,0.0034073936,0.0071067135,-0.00369932
86102,Financials,0.0067681107,0.0057834177,0.000984693
88597,Industrials,0.00040453076,0.006539547,-0.006135016
19166,Industrials,0.0020226538,0.005250105,-0.0032274514
91688,Financials,0.0020537714,0.0063936426,-0.004339871
85945,Industrials,0.011225727,0.008940349,0.002285378
90523,Financials,0.02170463,0.0064964895,0.015208142
81030,Industrials,0.005461165,0.005639246,-0.00017808098
79448,Financials,0.013116132,0.006397071,0.0067190607
90922,Financials,0.0016803584,0.0058005597,-0.0041202013
75320,Utilities & Telecom,0.037823625,0.0043254504,0.033498175
11850,Energy & Mining,0.0052588996,0.0067901807,-0.001531281
90882,Financials,0.023198284,0.0067947456,0.01640354
55213,Consumer,7.5849515e-05,0.0039175022,-0.0038416528
77470,Financials,0.018810678,0.007648374,0.011162304
63263,Healthcare,0.0,0.0044987733,-0.0044987733
76712,Utilities & Telecom,0.0,0.00273545,-0.00273545
89781,Healthcare,0.0,0.007911186,-0.007911186
90761,Financials,0.021191189,0.01923578,0.0019554086
77069,Financials,0.026699029,0.008464292,0.018234737
61146,Technology,0.0046521034,0.006598908,-0.0019468046
64450,Utilities & Telecom,0.0,0.003728389,-0.003728389
18091,Industrials,0.015169904,0.0057876473,0.009382256
91570,Financials,0.025205377,0.0058588395,0.019346539
80421,Financials,0.018437266,0.0064587793,0.011978487
90762,Financials,0.011155713,0.005162909,0.005992804
49154,Consumer,0.010315534,0.0025172038,0.00779833
82272,Healthcare,0.004854369,0.005151242,-0.00029687304
87133,Financials,0.0107823005,0.0057902755,0.004992025
90533,Energy & Mining,0.0023260517,0.008448976,-0.0061229244
89976,Energy & Mining,0.0,0.005461165,-0.005461165
78451,Financials,0.008775205,0.00471724,0.0040579652
20750,Utilities & Telecom,0.0,0.006226961,-0.006226961
89012,Financials,0.008075057,0.004144726,0.0039303307
82743,Energy & Mining,0.0,0.0056953095,-0.0056953095
90988,Healthcare,0.0009101942,0.005744989,-0.004834795
78936,Financials,0.015589992,0.008340876,0.007249116
20618,Industrials,0.009000809,0.0044586323,0.0045421766
42439,Industrials,0.013147249,0.00548425,0.007662999
90558,Industrials,0.005157767,0.009303108,-0.004145341
89492,Financials,0.01563667,0.004669245,0.010967424
91929,Utilities & Telecom,0.05380259,0.013852474,0.039950117
85340,Financials,0.0069081406,0.005749136,0.0011590044
91813,Utilities & Telecom,0.0,0.008806656,-0.008806656
12062,Healthcare,0.0,0.0029034868,-0.0029034868
85072,Consumer,0.0016686893,0.0064180354,-0.004749346
89462,Technology,0.0026294498,0.0068792207,-0.004249771
72864,Financials,0.0107823005,0.0063867867,0.004395514
27983,Technology,0.0028317152,0.0039672595,-0.0011355444
88485,Utilities & Telecom,0.0,0.011350657,-0.011350657
78950,Industrials,0.00020226538,0.0038089647,-0.0036066994
91414,Financials,0.009615385,0.0048646536,0.0047507314
63706,Financials,0.0007001494,0.009108798,-0.008408648
90494,Energy & Mining,0.010113268,0.014312475,-0.004199207
90499,Financials,0.02571882,0.010589792,0.015129027
