date_label,date_col,outcome,h,include_event_day,beta,se_firm,se_predictor,se_twoway,n_obs,n_firms,n_predictors,mean_y,sd_y,sd_x,t_twoway,std_effect,effect_pct_mean,fund_rows,fund_firms,fundrel_rows,window
ANNDATS_next,anndats,FundNews,5,False,0.00030981540923516254,0.00011907938227781279,0.0001330849740116452,0.0001367237473617453,175560,924,190,0.023631182526459342,0.0486829223652778,0.7508213437825038,2.2659955948650916,0.004778185256445907,0.013110448827022036,220783,979,175560,"[-5,-1]"
ANNDATS_next,anndats,AbsFundNews,5,False,0.00013060607539253468,0.00011681624504299502,0.00011868565037478066,0.0001250643267306916,175560,924,190,0.023631182526459342,0.0486829223652778,0.8123811375806035,1.0443111861448424,0.0021794482941311804,0.005526853141872938,220783,979,175560,"[-5,-1]"
ACTDATS_next,actdats,FundNews,5,False,0.00019317727147564486,0.00011818175491725337,0.00012685210223788471,0.00013051191324524916,175750,925,190,0.02366489679973147,0.04870662383070831,0.7538985235049138,1.4801504833711172,0.0029900668181475688,0.008163030378304327,233673,979,175750,"[-5,-1]"
ACTDATS_next,actdats,AbsFundNews,5,False,0.00014501346011356922,0.00011966252268606493,0.00012462381427477974,0.0001338447687898311,175750,925,190,0.02366489679973147,0.04870662383070831,0.8187443188925313,1.0834451090223458,0.0024376345000549564,0.0061277875555837925,233673,979,175750,"[-5,-1]"
MIN_ANN_ACT_next,min_anndats_actdats,FundNews,5,False,0.0003100956271322377,0.00011907331029326672,0.00013310474442154632,0.0001367389928385105,175560,924,190,0.023631182526459342,0.0486829223652778,0.7508331080877224,2.2677922419573644,0.004782581903714377,0.013122306798867561,220780,979,175560,"[-5,-1]"
MIN_ANN_ACT_next,min_anndats_actdats,AbsFundNews,5,False,0.0001305396195967566,0.00011681792668438064,0.00011866801489783585,0.00012505010325812783,175560,924,190,0.023631182526459342,0.0486829223652778,0.8123770483958288,1.043898535031973,0.00217832836884837,0.005524040934074886,220780,979,175560,"[-5,-1]"
ANNDATS_next,anndats,FundNews,5,True,0.0003464389790093206,0.00011030448471412597,0.00012506872078910444,0.000124215461748451,175560,924,190,0.023631182526459342,0.0486829223652778,0.7745179692662265,2.789016553437566,0.005511649700970714,0.014660247265299573,220783,979,175560,"[-5,0]"
ANNDATS_next,anndats,FundNews,10,False,0.00024897454495988674,0.00010149306325939634,0.00011703622584210453,0.00011606061685052024,175560,924,190,0.023631182526459342,0.0486829223652778,0.8610116840079424,2.14521128455273,0.004403392027753837,0.010535847906938857,220783,979,175560,"[-10,-1]"
ANNDATS_next,anndats,FundNews,20,False,0.00021860691200828737,8.929845528155822e-05,0.00011555141115790841,0.00011484898001441048,175560,924,190,0.023631182526459342,0.0486829223652778,1.0171129697178998,1.9034292858400488,0.004567267425017902,0.00925078174837496,220783,979,175560,"[-20,-1]"
ANNDATS_next,anndats,FundNews,1,False,3.816996276165858e-06,0.0001366749268396345,0.00014054491334002743,0.00014025566511064382,175560,924,190,0.023631182526459342,0.0486829223652778,0.6167307274534205,0.02721456044684352,4.835492151485459e-05,0.0001615237101186979,220783,979,175560,"[-1,-1]"
ANNDATS_next,anndats,AbsFundNews,5,True,7.535460854131628e-05,0.00011242644734244584,0.00012028122128834856,0.0001259883007663738,175560,924,190,0.023631182526459342,0.0486829223652778,0.8475345638085967,0.5981079837012008,0.0013118693820768459,0.003188778574958883,220783,979,175560,"[-5,0]"
ANNDATS_next,anndats,AbsFundNews,10,False,8.718566389001221e-06,0.00010211220221119931,0.00013076567850931983,0.00013464798256491834,175560,924,190,0.023631182526459342,0.0486829223652778,0.9709387581507495,0.06475081336475061,0.00017388426189939154,0.0003689432968172128,220783,979,175560,"[-10,-1]"
ANNDATS_next,anndats,AbsFundNews,20,False,0.00012092683535589194,9.454702172109491e-05,0.00011964543734455792,0.00012752703059560545,175560,924,190,0.023631182526459342,0.0486829223652778,1.2047669078973975,0.9482447351836878,0.002992602794474914,0.005117257048837597,220783,979,175560,"[-20,-1]"
ANNDATS_next,anndats,AbsFundNews,1,False,0.00024023171284120648,0.0001373044423503263,0.00014058387937220722,0.00014194943346483227,175560,924,190,0.023631182526459342,0.0486829223652778,0.6241216627917612,1.6923752844756754,0.0030798031175857314,0.010165877758009954,220783,979,175560,"[-1,-1]"
