window,beta,se_twoway,t_twoway,std_effect,effect_pct_mean,n_obs,n_firms,n_predictors,sd_abs_theta,mean_abs_theta
"[-5,-1]",0.2936200678905695,0.15450150253548336,1.900435031841426,0.020935875039933348,12.425111082012485,175560,924,190,0.003471219070755374,0.0007186933144409437
"[-10,-1]",-0.21522745173897462,0.1784640019581686,-1.2059992456597675,-0.011390675089979567,-9.107773235553875,175560,924,190,0.002576489879023928,0.0005385123558615507
"[-5,0]",0.06556323226028879,0.1272417341009276,0.5152651582717689,0.004253642008246045,2.774437216033479,175560,924,190,0.0031584733778074166,0.0006585833019347854
"[-10,0]",-0.03903533081407941,0.16063408516935546,-0.24300776994449663,-0.0019530369615404811,-1.6518568535608575,175560,924,190,0.0024357305239206435,0.0005138215178456163
