outcome,window,date_label,level,beta,se_firm,se_predictor,se_twoway,n_obs,n_firms,n_predictors,mean_y,sd_y,sd_x,t_twoway,std_effect,effect_pct_mean,fundrel_rows,n_sectors
FundNews,"[-5,-1]",ANNDATS_next,FF12,-0.0003135673813735719,0.00011460344008706354,0.0002626814979311426,0.00026171150646668573,246240,1296,190,0.019498088915711125,0.045362647641854055,0.7347859565979673,-1.1981413641569751,-0.005079176817446509,-0.016081954633046437,2280,12
AbsFundNews,"[-5,-1]",ANNDATS_next,FF12,0.00011589620453774685,0.00010730270273001784,0.00023763665172534136,0.00024303278793022645,246240,1296,190,0.019498088915711125,0.045362647641854055,0.956734298004356,0.476874768728819,0.002444343080792419,0.00594397764000144,2280,12
