"DATE","vwretx","sprtrn"
"2010-09-01",0.028989,0.029505
"2010-09-02",0.009476,0.009081
"2010-09-03",0.012954,0.013219
"2010-09-07",-0.011925,-0.011471
"2010-09-08",0.006132,0.006439
"2010-09-09",0.003615,0.004832
"2010-09-10",0.004456,0.004863
"2010-09-13",0.012516,0.011131
"2010-09-14",-0.00013,-0.000713
"2010-09-15",0.002919,0.003541
"2010-09-16",-0.000858,-0.000364
"2010-09-17",0.00108,0.000827
"2010-09-20",0.015156,0.01521
"2010-09-21",-0.00312,-0.002564
"2010-09-22",-0.005124,-0.004825
"2010-09-23",-0.00814,-0.008331
"2010-09-24",0.021146,0.021194
"2010-09-27",-0.004466,-0.005667
"2010-09-28",0.005588,0.00485
"2010-09-29",-0.001174,-0.002588
"2010-09-30",-0.002021,-0.003084
"2010-10-01",0.004825,0.004416
"2010-10-04",-0.008639,-0.008035
"2010-10-05",0.02056,0.020861
"2010-10-06",-0.000668,-0.000672
"2010-10-07",-0.002136,-0.001647
"2010-10-08",0.007617,0.006122
"2010-10-11",0.000566,0.000146
"2010-10-12",0.003644,0.003819
"2010-10-13",0.008646,0.007121
"2010-10-14",-0.003674,-0.003641
"2010-10-15",0.0007,0.002028
"2010-10-18",0.006276,0.007244
"2010-10-19",-0.017214,-0.015877
"2010-10-20",0.011159,0.010524
"2010-10-21",0.000227,0.001774
"2010-10-22",0.002612,0.002389
"2010-10-25",0.003717,0.002147
"2010-10-26",-0.000427,1.7e-05
"2010-10-27",-0.00348,-0.002691
"2010-10-28",0.00103,0.001125
"2010-10-29",0.001643,-0.000439
"2010-11-01",0.000117,0.000947
"2010-11-02",0.00903,0.007759
"2010-11-03",0.003283,0.003678
"2010-11-04",0.01976,0.019283
"2010-11-05",0.003973,0.003923
"2010-11-08",-0.001016,-0.002121
"2010-11-09",-0.008717,-0.008052
"2010-11-10",0.005183,0.004376
"2010-11-11",-0.003605,-0.004242
"2010-11-12",-0.013464,-0.011808
"2010-11-15",-0.00138,-0.001217
"2010-11-16",-0.017062,-0.016205
"2010-11-17",0.001487,0.000212
"2010-11-18",0.015529,0.015357
"2010-11-19",0.003617,0.00254
"2010-11-22",-0.000321,-0.001575
"2010-11-23",-0.014158,-0.014284
"2010-11-24",0.015645,0.014923
"2010-11-26",-0.007053,-0.007469
"2010-11-29",-0.001145,-0.001379
"2010-11-30",-0.005825,-0.00607
"2010-12-01",0.020659,0.021617
"2010-12-02",0.012204,0.012818
"2010-12-03",0.003865,0.002603
"2010-12-06",-2.2e-05,-0.001298
"2010-12-07",0.000153,0.000515
"2010-12-08",0.001312,0.003702
"2010-12-09",0.003501,0.003843
"2010-12-10",0.006395,0.006002
"2010-12-13",-8.1e-05,4.8e-05
"2010-12-14",0.000228,0.000911
"2010-12-15",-0.005304,-0.005122
"2010-12-16",0.005693,0.006185
"2010-12-17",0.001495,0.000837
"2010-12-20",0.001792,0.002548
"2010-12-21",0.007002,0.00603
"2010-12-22",0.002923,0.00338
"2010-12-23",-0.0013,-0.001644
"2010-12-27",0.000622,0.000613
"2010-12-28",0.000725,0.000771
"2010-12-29",0.002491,0.001009
"2010-12-30",-0.000833,-0.001508
"2010-12-31",-0.000264,-0.000191
"2011-01-03",0.011181,0.011315
"2011-01-04",-0.003939,-0.001313
"2011-01-05",0.005299,0.005007
"2011-01-06",-0.002757,-0.002123
"2011-01-07",-0.001951,-0.001845
"2011-01-10",-0.000711,-0.001376
"2011-01-11",0.005042,0.003725
"2011-01-12",0.008903,0.009008
"2011-01-13",-0.001893,-0.001711
"2011-01-14",0.006607,0.007385
"2011-01-18",0.002156,0.001376
"2011-01-19",-0.012342,-0.010116
"2011-01-20",-0.003844,-0.001295
"2011-01-21",0.001244,0.002414
"2011-01-24",0.006249,0.005836
"2011-01-25",-0.000447,0.000263
"2011-01-26",0.007301,0.004221
"2011-01-27",0.002029,0.002244
"2011-01-28",-0.017258,-0.017852
"2011-01-31",0.007614,0.007663
"2011-02-01",0.016992,0.016694
"2011-02-02",-0.002377,-0.002723
"2011-02-03",0.002779,0.002354
"2011-02-04",0.002155,0.002884
"2011-02-07",0.006108,0.00624
"2011-02-08",0.004344,0.004185
"2011-02-09",-0.003563,-0.002786
"2011-02-10",0.001276,0.00075
"2011-02-11",0.005949,0.005507
"2011-02-14",0.003269,0.002385
"2011-02-15",-0.003274,-0.003235
"2011-02-16",0.007373,0.006257
"2011-02-17",0.003846,0.003076
"2011-02-18",0.001202,0.001925
"2011-02-22",-0.021071,-0.020529
"2011-02-23",-0.006603,-0.006112
"2011-02-24",-0.000307,-0.000994
"2011-02-25",0.01274,0.01055
"2011-02-28",0.005283,0.005561
"2011-03-01",-0.014934,-0.01574
"2011-03-02",0.002707,0.001615
"2011-03-03",0.016048,0.017219
