PERMNO,date,NCUSIP,TICKER,COMNAM,PERMCO,CUSIP
20139,2024-12-31,00774Q34,DEMZ,ADVISORS INNER CIRCLE FUND III,57562,00774Q34
20143,2024-12-30,33765510,NOTE,FISCALNOTE HOLDINGS INC,57435,33765510
20143,2024-12-31,33765510,NOTE,FISCALNOTE HOLDINGS INC,57435,33765510
20146,2024-12-30,71367G10,PWP,PERELLA WEINBERG PARTNERS,57345,71367G10
20146,2024-12-31,71367G10,PWP,PERELLA WEINBERG PARTNERS,57345,71367G10
20147,2024-12-30,02115D20,AEI,ALSET INC,57565,02115D20
20147,2024-12-31,02115D20,AEI,ALSET INC,57565,02115D20
20149,2024-12-30,45763770,INM,INMED PHARMACEUTICALS INC,57566,45763770
20149,2024-12-31,45763770,INM,INMED PHARMACEUTICALS INC,57566,45763770
20150,2024-12-30,44984F40,NAYA,NAYA BIOSCIENCES INC,57567,44984F40
20150,2024-12-31,44984F40,NAYA,NAYA BIOSCIENCES INC,57567,44984F40
20151,2024-12-30,92790A50,JOET,VIRTUS E T F TR II,55818,92790A50
20151,2024-12-31,92790A50,JOET,VIRTUS E T F TR II,55818,92790A50
20153,2024-12-30,43163610,HLMN,HILLMAN SOLUTIONS CORP,57447,43163610
20153,2024-12-31,43163610,HLMN,HILLMAN SOLUTIONS CORP,57447,43163610
20154,2024-12-30,53931930,LIXT,LIXTE BIOTECHNOLOGY HOLDINGS INC,57569,53931930
20154,2024-12-31,53931930,LIXT,LIXTE BIOTECHNOLOGY HOLDINGS INC,57569,53931930
20161,2024-12-30,67421520,CHRD,CHORD ENERGY CORP,53438,67421520
20161,2024-12-31,67421520,CHRD,CHORD ENERGY CORP,53438,67421520
20163,2024-12-30,76135L50,REVB,REVELATION BIOSCIENCES INC,57458,76135L50
20163,2024-12-31,76135L50,REVB,REVELATION BIOSCIENCES INC,57458,76135L50
20164,2024-12-30,74623710,PRTC,PURETECH HEALTH PLC,57576,74623710
20164,2024-12-31,74623710,PRTC,PURETECH HEALTH PLC,57576,74623710
20169,2024-12-30,76200L30,RZLT,REZOLUTE INC,57577,76200L30
20169,2024-12-31,76200L30,RZLT,REZOLUTE INC,57577,76200L30
20171,2024-12-30,26916J20,GWH,E S S TECH INC,57358,26916J20
20171,2024-12-31,26916J20,GWH,E S S TECH INC,57358,26916J20
20173,2024-12-30,87969B10,TLS,TELOS CORP,57580,87969B10
20173,2024-12-31,87969B10,TLS,TELOS CORP,57580,87969B10
20178,2024-12-30,77312210,RKLB,ROCKET LAB USA INC,57363,77312210
20178,2024-12-31,77312210,RKLB,ROCKET LAB USA INC,57363,77312210
20179,2024-12-30,05759B30,BKKT,BAKKT HOLDINGS INC,57364,05759B30
20179,2024-12-31,05759B30,BKKT,BAKKT HOLDINGS INC,57364,05759B30
20180,2024-12-30,92840Q20,VMAR,VISION MARINE TECHNOLOGIES INC,57583,92840Q20
20180,2024-12-31,92840Q20,VMAR,VISION MARINE TECHNOLOGIES INC,57583,92840Q20
20181,2024-12-30,88331L10,SKIN,BEAUTY HEALTH CO,57365,88331L10
20181,2024-12-31,88331L10,SKIN,BEAUTY HEALTH CO,57365,88331L10
20187,2024-12-30,81578P10,SEER,SEER INC,57586,81578P10
20187,2024-12-31,81578P10,SEER,SEER INC,57586,81578P10
20188,2024-12-30,13057Q30,CRC,CALIFORNIA RESOURCES CORP,55089,13057Q30
20188,2024-12-31,13057Q30,CRC,CALIFORNIA RESOURCES CORP,55089,13057Q30
20189,2024-12-30,25809K10,DASH,DOORDASH INC,57587,25809K10
20189,2024-12-31,25809K10,DASH,DOORDASH INC,57587,25809K10
20190,2024-12-30,00906610,ABNB,AIRBNB INC,57588,00906610
20190,2024-12-31,00906610,ABNB,AIRBNB INC,57588,00906610
20193,2024-12-30,12468P10,AI,C3 AI INC,57590,12468P10
20193,2024-12-31,12468P10,AI,C3 AI INC,57590,12468P10
20194,2024-12-30,44888K20,HYFM,HYDROFARM HOLDINGS GROUP INC,57591,44888K20
20194,2024-12-31,44888K20,HYFM,HYDROFARM HOLDINGS GROUP INC,57591,44888K20
20195,2024-12-30,15687V10,CERT,CERTARA INC,57592,15687V10
20195,2024-12-31,15687V10,CERT,CERTARA INC,57592,15687V10
20196,2024-12-30,91680M10,UPST,UPSTART HOLDINGS INC,57593,91680M10
20196,2024-12-31,91680M10,UPST,UPSTART HOLDINGS INC,57593,91680M10
20198,2024-12-30,00768Y43,QPX,ADVISORSHARES TRUST,53202,00768Y43
20198,2024-12-31,00768Y43,QPX,ADVISORSHARES TRUST,53202,00768Y43
20200,2024-12-30,00774Q19,RAYC,ADVISORS INNER CIRCLE FUND III,57562,00774Q19
20200,2024-12-31,00774Q19,RAYC,ADVISORS INNER CIRCLE FUND III,57562,00774Q19
20203,2024-12-30,02507269,AVMU,AMERICAN CENTURY E T F TRUST,56215,02507269
20203,2024-12-31,02507269,AVMU,AMERICAN CENTURY E T F TRUST,56215,02507269
20204,2024-12-30,22444110,CXT,CRANE N X T CO,20531,22444110
20204,2024-12-31,22444110,CXT,CRANE N X T CO,20531,22444110
20207,2024-12-30,03945R10,ACHR,ARCHER AVIATION INC,57377,03945R10
20207,2024-12-31,03945R10,ACHR,ARCHER AVIATION INC,57377,03945R10
20208,2024-12-30,19423L67,SPCX,COLLABORATIVE INV SERIES TRUST,56779,19423L67
20208,2024-12-31,19423L67,SPCX,COLLABORATIVE INV SERIES TRUST,56779,19423L67
20210,2024-12-30,25434V30,DFAE,DIMENSIONAL E T F TRUST,57539,25434V30
20210,2024-12-31,25434V30,DFAE,DIMENSIONAL E T F TRUST,57539,25434V30
20215,2024-12-30,26922B50,DSTX,E T F SERIES SOLUTIONS,54066,26922B50
20215,2024-12-31,26922B50,DSTX,E T F SERIES SOLUTIONS,54066,26922B50
20217,2024-12-30,33740F64,QDEC,FIRST TRUST E T F VIII,55693,33740F64
20217,2024-12-31,33740F64,QDEC,FIRST TRUST E T F VIII,55693,33740F64
20218,2024-12-30,33740F65,YDEC,FIRST TRUST E T F VIII,55693,33740F65
20218,2024-12-31,33740F65,YDEC,FIRST TRUST E T F VIII,55693,33740F65
20219,2024-12-30,33740U40,DDEC,FIRST TRUST E T F VIII,55693,33740U40
20219,2024-12-31,33740U40,DDEC,FIRST TRUST E T F VIII,55693,33740U40
20222,2024-12-30,33740U50,FDEC,FIRST TRUST E T F VIII,55693,33740U50
20222,2024-12-31,33740U50,FDEC,FIRST TRUST E T F VIII,55693,33740U50
20225,2024-12-30,46090A78,IVRA,INVESCO ACTIVELY MANAGED ETF TR,52998,46090A78
20225,2024-12-31,46090A78,IVRA,INVESCO ACTIVELY MANAGED ETF TR,52998,46090A78
20228,2024-12-30,46641Q28,JCTR,J P MORGAN E T F TRUST,54917,46641Q28
20228,2024-12-31,46641Q28,JCTR,J P MORGAN E T F TRUST,54917,46641Q28
20230,2024-12-30,50076765,KMLM,KRANESHARES TRUST,54464,50076765
20230,2024-12-31,50076765,KMLM,KRANESHARES TRUST,54464,50076765
20231,2024-12-30,53656F59,HEGD,LISTED FUNDS TRUST,56315,53656F59
20231,2024-12-31,53656F59,HEGD,LISTED FUNDS TRUST,56315,53656F59
20233,2024-12-30,53656F67,DECZ,LISTED FUNDS TRUST,56315,53656F67
20233,2024-12-31,53656F67,DECZ,LISTED FUNDS TRUST,56315,53656F67
20237,2024-12-30,66538H36,GLRY,NORTHERN LIGHTS FUND TR IV,55860,66538H36
20237,2024-12-31,66538H36,GLRY,NORTHERN LIGHTS FUND TR IV,55860,66538H36
20238,2024-12-30,68622E10,BARK,BARK INC,57542,68622E10
20238,2024-12-31,68622E10,BARK,BARK INC,57542,68622E10
20241,2024-12-30,68634K10,ORLA,ORLA MINING LTD,57602,68634K10
20241,2024-12-31,68634K10,ORLA,ORLA MINING LTD,57602,68634K10
20242,2024-12-30,69374H55,PSMD,PACER FUNDS TRUST,56319,69374H55
20242,2024-12-31,69374H55,PSMD,PACER FUNDS TRUST,56319,69374H55
20243,2024-12-30,69374H56,PSFF,PACER FUNDS TRUST,56319,69374H56
20243,2024-12-31,69374H56,PSFF,PACER FUNDS TRUST,56319,69374H56
20244,2024-12-30,69374H57,PSFD,PACER FUNDS TRUST,56319,69374H57
20244,2024-12-31,69374H57,PSFD,PACER FUNDS TRUST,56319,69374H57
20245,2024-12-30,69374H58,PSCX,PACER FUNDS TRUST,56319,69374H58
20245,2024-12-31,69374H58,PSCX,PACER FUNDS TRUST,56319,69374H58
20252,2024-12-30,82889N88,VCAR,SIMPLIFY EXCHANGE TRADED FUNDS,57311,82889N88
20252,2024-12-31,82889N88,VCAR,SIMPLIFY EXCHANGE TRADED FUNDS,57311,82889N88
20253,2024-12-30,67623L30,OPAD,OFFERPAD SOLUTIONS INC,57395,67623L30
20253,2024-12-31,67623L30,OPAD,OFFERPAD SOLUTIONS INC,57395,67623L30
20254,2024-12-30,88636476,SPRE,TIDAL E T F TRUST,56624,88636476
20254,2024-12-31,88636476,SPRE,TIDAL E T F TRUST,56624,88636476
20256,2024-12-30,88636479,DIVY,TIDAL E T F TRUST,56624,88636479
20256,2024-12-31,88636479,DIVY,TIDAL E T F TRUST,56624,88636479
20257,2024-12-30,88636481,FXED,TIDAL E T F TRUST,56624,88636481
20257,2024-12-31,88636481,FXED,TIDAL E T F TRUST,56624,88636481
20258,2024-12-30,88636483,GSPY,TIDAL E T F TRUST,56624,88636483
20258,2024-12-31,88636483,GSPY,TIDAL E T F TRUST,56624,88636483
20259,2024-12-30,88636487,JSTC,TIDAL E T F TRUST,56624,88636487
20259,2024-12-31,88636487,JSTC,TIDAL E T F TRUST,56624,88636487
20260,2024-12-30,89628W50,ABOT,TRIMTABS ETF TRUST,55336,89628W50
20260,2024-12-31,89628W50,ABOT,TRIMTABS ETF TRUST,55336,89628W50
20261,2024-12-30,89628W60,ABHY,TRIMTABS ETF TRUST,55336,89628W60
20261,2024-12-31,89628W60,ABHY,TRIMTABS ETF TRUST,55336,89628W60
20262,2024-12-30,90470L55,MGMT,UNIFIED SERIES TRUST,56989,90470L55
20262,2024-12-31,90470L55,MGMT,UNIFIED SERIES TRUST,56989,90470L55
20265,2024-12-30,92189H85,MBBB,VANECK E T F TRUST,50699,92189H85
20265,2024-12-31,92189H85,MBBB,VANECK E T F TRUST,50699,92189H85
20266,2024-12-30,92189H86,MIG,VANECK E T F TRUST,50699,92189H86
20266,2024-12-31,92189H86,MIG,VANECK E T F TRUST,50699,92189H86
20267,2024-12-30,97717Y68,GCC,WISDOMTREE TRUST,50852,97717Y68
20267,2024-12-31,97717Y68,GCC,WISDOMTREE TRUST,50852,97717Y68
20269,2024-12-30,09581B10,OWL,BLUE OWL CAPITAL INC,57399,09581B10
20269,2024-12-31,09581B10,OWL,BLUE OWL CAPITAL INC,57399,09581B10
20276,2024-12-30,00288U10,ABCL,ABCELLERA BIOLOGICS INC,57611,00288U10
20276,2024-12-31,00288U10,ABCL,ABCELLERA BIOLOGICS INC,57611,00288U10
20277,2024-12-30,72815G10,MYPS,PLAYSTUDIOS INC,57421,72815G10
20277,2024-12-31,72815G10,MYPS,PLAYSTUDIOS INC,57421,72815G10
20280,2024-12-30,09077B10,BCAB,BIOATLA INC,57614,09077B10
20280,2024-12-31,09077B10,BCAB,BIOATLA INC,57614,09077B10
20281,2024-12-30,19207A10,COEP,COEPTIS THERAPEUTICS HOLDINGS IN,57428,19207A20
20281,2024-12-31,19207A20,COEP,COEPTIS THERAPEUTICS HOLDINGS IN,57428,19207A20
20285,2024-12-30,18563420,CLNN,CLENE INC,57617,18563420
20285,2024-12-31,18563420,CLNN,CLENE INC,57617,18563420
20287,2024-12-30,53216B10,LFMD,LIFEMD INC,57620,53216B10
20287,2024-12-31,53216B10,LFMD,LIFEMD INC,57620,53216B10
20288,2024-12-30,23254X20,CYTH,CYCLO THERAPEUTICS INC,57621,23254X20
20288,2024-12-31,23254X20,CYTH,CYCLO THERAPEUTICS INC,57621,23254X20
