PERMNO,date,NCUSIP,TICKER,COMNAM,PERMCO,CUSIP
19598,2024-12-30,48249710,BEKE,K E HOLDINGS INC,57207,48249710
19598,2024-12-31,48249710,BEKE,K E HOLDINGS INC,57207,48249710
19599,2024-12-30,74767V10,QS,QUANTUMSCAPE CORP,57104,74767V10
19599,2024-12-31,74767V10,QS,QUANTUMSCAPE CORP,57104,74767V10
19600,2024-12-30,53656F72,AUGZ,LISTED FUNDS TRUST,56315,53656F72
19600,2024-12-31,53656F72,AUGZ,LISTED FUNDS TRUST,56315,53656F72
19601,2024-12-30,64119V30,NTST,NETSTREIT CORP,57208,64119V30
19601,2024-12-31,64119V30,NTST,NETSTREIT CORP,57208,64119V30
19602,2024-12-30,64943930,NYC,AMERICAN STRATEGIC INVESTMENT CO,57209,64943930
19602,2024-12-31,64943930,NYC,AMERICAN STRATEGIC INVESTMENT CO,57209,64943930
19603,2024-12-30,66538H38,LCG,NORTHERN LIGHTS FUND TR IV,55860,66538H38
19603,2024-12-31,66538H38,LCG,NORTHERN LIGHTS FUND TR IV,55860,66538H38
19604,2024-12-30,67079X10,NDMO,NUVEEN DYNAMIC MUNICIPAL OPP FD,57211,67079X10
19604,2024-12-31,67079X10,NDMO,NUVEEN DYNAMIC MUNICIPAL OPP FD,57211,67079X10
19606,2024-12-30,67080N10,NUVB,NUVATION BIO INC,57154,67080N10
19606,2024-12-31,67080N10,NUVB,NUVATION BIO INC,57154,67080N10
19607,2024-12-30,87283Q10,TCHP,T ROWE PRICE E T F INC,57214,87283Q10
19607,2024-12-31,87283Q10,TCHP,T ROWE PRICE E T F INC,57214,87283Q10
19608,2024-12-30,87283Q20,TEQI,T ROWE PRICE E T F INC,57214,87283Q20
