stock,window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2,return_variance
10065,30,1,4.4890403414330964e-07,0.9656137066794709,-0.5520576311200358,-1.9218234115214727e-08,-0.0025042433685937837,3.959513948438055e-07,1.8063089963120547e-05,0.0004321545385133345,2.025115404879304,1843,1846,,8.438442584690061e-05
10145,30,1,4.4890403414330964e-07,0.9766314940009361,-0.44863144318021964,1.3563956795303866e-05,-0.0006564672652484838,0.0036027824837167443,0.15858618465170565,0.0007115102846810703,2.2803072516862164,1843,1846,,0.00018062580913995346
10294,30,1,4.4890403414330964e-07,0.9705372534571057,-0.5021593153337038,0.00010631477713218818,-0.0002897140169393353,0.009934115391522431,0.4468574176815691,0.00033849958305023827,0.6324835731597819,1843,1846,,0.0005382957048763905
10375,30,1,4.4890403414330964e-07,0.97096364786555,-0.6065306680940374,-1.8307355631463906e-11,-0.0020100288161428725,4.738050311072739e-10,2.1611404544958344e-08,0.00010159820584246684,0.22855239513204445,1843,1846,,0.0003614211675400286
10516,30,1,4.4890403414330964e-07,0.9653479122685975,-0.5756537836668372,-2.199603388319815e-09,-0.0009162156383479836,3.5905868230208787e-08,1.6489952946819624e-06,0.00025457194489013254,0.6985417347748111,1843,1846,,0.00024350038516209
10517,30,1,4.4890403414330964e-07,0.9657777379184566,-0.5401235338118735,0.00041495093798527005,-0.0038160850133839297,0.01897103699747382,0.8915613033179028,0.00047498987892588166,0.9431444236016095,1843,1846,,0.00046292572507663186
10606,30,1,4.4890403414330964e-07,0.9695579186229206,-0.5671400997146656,-5.171418848703979e-13,-0.0013228583317654863,5.3261763363219035e-12,2.354059399656724e-10,0.0004220744497174781,1.0083402351582782,1843,1846,,0.00031990641848314707
10629,30,1,4.4890403414330964e-07,0.9740578619844655,-0.5242331383233132,0.00010437886749248282,0.00026860396722472313,0.009764760868616306,0.4426241043808292,0.00048314465488141604,1.1888884812522276,1843,1846,,0.0003064364317005721
10693,30,1,4.4890403414330964e-07,0.9758185512029779,-0.49408215230934327,0.0009229148728775449,-0.001205384898899542,0.02915590751541547,1.3423985367643698,0.0005972703285123638,1.361711992675487,1843,1846,,0.0003580508807772376
10866,30,1,4.4890403414330964e-07,0.9717740507199646,-0.5711079991494137,-8.062407186315568e-09,-5.636247304430242e-06,7.101042466549129e-08,3.1047190156545055e-06,0.0004153109709303922,0.6652795953477504,1843,1846,,0.000716326587964
10874,30,1,4.4890403414330964e-07,0.96923073501121,-0.5448146396377014,0.0002667603157243681,-0.0025085398704720596,0.015307129820916508,0.7113112370495316,0.0007733965416766595,1.3022617104037642,1843,1846,,0.0006683297468236152
10890,30,1,4.4890403414330964e-07,0.9623418116293038,-0.6273686860799539,-8.830713937868495e-13,-0.0029797372630413488,8.237948560561528e-12,3.8493283534768593e-10,-0.0006141630458011712,-0.8007757792145545,1843,1846,,0.0010745240120466047
10932,30,1,4.4890403414330964e-07,0.9705284622255415,-0.5328145989570356,4.0911237320084837e-07,-0.002213017165878739,0.0006404670204234952,0.02757931191144188,0.000680497375047808,1.4759681197441712,1843,1846,,0.00039656151315536957
10933,30,1,4.4890403414330964e-07,0.9739737459510471,-0.5975254855976366,-2.724856629221506e-08,-0.00045260653005962936,6.1170341584918e-07,2.7317706175657222e-05,0.0005335306593244883,2.0137900228284837,1843,1846,,0.0001285894829418773
10952,30,1,4.4890403414330964e-07,0.9703054974970025,-0.6031208586413437,-1.5736437486424393e-08,-0.0023719708235931947,3.096789282407077e-07,1.4248651321109911e-05,-5.895757350543564e-05,-0.12318661529206278,1843,1846,,0.0004240264912100314
11018,30,1,4.4890403414330964e-07,0.9627499884408341,-0.5715110493967626,0.0007198670794246187,-0.012049535324712757,0.02355363380513457,1.1769582770404166,-0.0009186754745466394,-1.016520493477451,1843,1846,,0.0015545696957960063
11144,30,1,4.4890403414330964e-07,0.9666992316282104,-0.6220768219222699,-3.660582947873081e-11,-0.0013431578879210537,1.0777522398116026e-09,4.7105637211983764e-08,0.0004757558502537843,0.7182296048460912,1843,1846,,0.0008098876379232585
11208,30,1,4.4890403414330964e-07,0.9622951767120272,-0.6437652791279216,3.975183145576988e-05,-0.0039005989956470977,0.005579816469168377,0.27213992527030906,-1.087991769976236e-05,-0.018865200001950085,1843,1846,,0.0006129876739498819
11267,30,1,4.4890403414330964e-07,0.9738551374613675,-0.6346311167840959,-9.14690545528174e-12,-0.009897749499279795,2.029210667075734e-10,9.73336000946382e-09,7.750607838827649e-05,0.15968123704499823,1843,1846,,0.00043490409774217233
11308,30,1,4.4890403414330964e-07,0.9734584765210946,-0.6072633752053391,-1.2993912612557779e-09,-0.00014404209203422447,2.1122705311984454e-08,9.505621717271963e-07,0.0003962174150247905,1.8422287642952604,1843,1846,,8.61870796279146e-05
