stock,window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2,return_variance,failed
10065,20,1,5.783055944698348e-07,0.9431951312363217,-0.6099257314704736,-2.921804576061504e-08,-0.0012898089615873687,3.034142083593031e-07,1.3100577095154932e-05,0.0004739389782658026,2.2370813866563726,1863,1866,,8.425831631311033e-05,True
10145,20,1,5.783055944698348e-07,0.9617380828481071,-0.5153280286940871,0.0002179868701144283,-0.004537308274171092,0.01458323373340891,0.6458774516442121,0.0007687507289257096,2.4802320876960673,1863,1866,,0.00018067546294153728,
10294,20,1,5.783055944698348e-07,0.953381849470125,-0.555358724983191,-1.7974993271607786e-08,-0.00019707928514622886,1.8836205580610417e-07,7.926640695407039e-06,0.00047002612433099896,0.8732109082572215,1863,1866,,0.0005373695125709369,True
10375,20,1,5.783055944698348e-07,0.9525344849536559,-0.5994564159596913,8.026120564508243e-05,-0.0012397274290412152,0.008788010639868485,0.38985050394917964,0.00013873858714680656,0.3150271924304824,1863,1866,,0.00036093622604451987,
10516,20,1,5.783055944698348e-07,0.9461935893819123,-0.46495812498960687,7.766975033784984e-05,-0.013954961197967464,0.009198668613482572,0.38396265640420757,0.0002604918689188407,0.7217064000487161,1863,1866,,0.00024248942024945403,
10517,20,1,5.783055944698348e-07,0.9466903909600783,-0.5489288223498752,-8.843337173658483e-10,-0.004745727369070307,1.6954466731502527e-08,7.007281917715761e-07,0.000501835469888523,1.0054776337714681,1863,1866,,0.0004615584000907445,True
10606,20,1,5.783055944698348e-07,0.943208346495114,-0.595517952135781,-2.538191878898033e-12,-0.0014563271327223681,3.1972093812221756e-11,1.3417811155873737e-09,0.00046744740289825036,1.1265922043356444,1863,1866,,0.0003192979089069723,True
10629,20,1,5.783055944698348e-07,0.9574108248195036,-0.5436804937930781,0.0013915859653479412,0.004182658516014071,0.036492587818083906,1.6718691579044838,0.0005664838718093989,1.402318487480797,1863,1866,,0.0003079241883023737,
10693,20,1,5.783055944698348e-07,0.9542819802669366,-0.47553871905261147,0.0022856232260565212,0.005182027069054906,0.05098400712875746,2.17518399934553,0.0006032887580350087,1.379691521939176,1863,1866,,0.00035816377732453335,
10866,20,1,5.783055944698348e-07,0.9520148622617278,-0.6732784299768972,-9.236122977540617e-11,-1.3922855822912084e-05,1.3518458134940603e-09,5.810523419431923e-08,0.0005197590974007206,0.8384587084797736,1863,1866,,0.0007191622872449675,True
10874,20,1,5.783055944698348e-07,0.9525692888379875,-0.7327033701462857,0.00014654375256295538,4.096147144516671e-05,0.011977050414044252,0.5281840743445881,0.0009570557745027212,1.6107281570256853,1863,1866,,0.0006683737411618298,
10890,20,1,5.783055944698348e-07,0.9400431815824731,-0.6518579952102441,-8.16581224860613e-09,-0.004020888021564195,8.602981803691376e-07,3.936903495566698e-05,-0.0005394127926107375,-0.7098258779794561,1863,1866,,0.0010703577698251401,True
10932,20,1,5.783055944698348e-07,0.9538384697274418,-0.6317836819626121,8.756303293244727e-05,-0.0013118190112648698,0.009800107294230467,0.4074096178230929,0.0007478914238154076,1.632856831258765,1863,1866,,0.00039762195897576877,
10933,20,1,5.783055944698348e-07,0.9564598572358323,-0.5896120928862074,5.123014470598264e-05,-0.0005076789306019958,0.007069169959474088,0.31113453365614896,0.000569445314950966,2.164959648593594,1863,1866,,0.00012843663953685818,
10952,20,1,5.783055944698348e-07,0.9515674418263067,-0.6090216990991386,-2.5350348487052088e-09,-0.0030503760414788417,4.732098502054029e-08,2.069215964302788e-06,2.4346579114408765e-05,0.05117065137954146,1863,1866,,0.00042397045058512473,True
11018,20,1,5.783055944698348e-07,0.9410468415971238,-0.6551834527932532,0.002850899238910798,-0.004708181928873456,0.046104244912509945,2.4234361523461327,-0.0008650658770517084,-0.9634979560561594,1863,1866,,0.0015600240776874185,
11144,20,1,5.783055944698348e-07,0.947485627614819,-0.7131540880073197,-3.664402115077792e-11,-0.0014340218725577003,5.086642882710606e-10,2.1905790858199178e-08,0.0005342586816078184,0.8084272633262592,1863,1866,,0.0008090739675072021,True
